Cifras de Población
Resultados Nacionales
Población residente por fecha, sexo y edad
Unidades: Personas
,Ambos sexos,Hombres,Mujeres,
1 de julio de 2017,
    0 años,393112.0,202106.0,191005.0,
    1 año,419307.0,215644.0,203663.0,
    2 años,430003.0,221650.0,208352.0,
    3 años,432554.0,222917.0,209637.0,
    4 años,443764.0,228592.0,215172.0,
    5 años,465525.0,240006.0,225518.0,
    6 años,477115.0,245982.0,231133.0,
    7 años,484829.0,250304.0,234524.0,
    8 años,503366.0,260096.0,243270.0,
    9 años,508170.0,262370.0,245800.0,
    10 años,498279.0,257194.0,241085.0,
    11 años,492158.0,253508.0,238650.0,
    12 años,484995.0,249685.0,235310.0,
    13 años,478697.0,246283.0,232415.0,
    14 años,466131.0,239591.0,226540.0,
    15 años,456325.0,234579.0,221746.0,
    16 años,455071.0,234543.0,220528.0,
    17 años,450442.0,232445.0,217997.0,
    18 años,440898.0,227531.0,213367.0,
    19 años,438480.0,225941.0,212539.0,
    20 años,440242.0,225431.0,214812.0,
    21 años,439574.0,224881.0,214693.0,
    22 años,443647.0,226811.0,216836.0,
    23 años,457135.0,232789.0,224346.0,
    24 años,475585.0,241278.0,234308.0,
    25 años,484756.0,245468.0,239288.0,
    26 años,489702.0,247122.0,242580.0,
    27 años,500151.0,251449.0,248703.0,
    28 años,511782.0,256545.0,255237.0,
    29 años,522936.0,261130.0,261806.0,
    30 años,536515.0,267056.0,269460.0,
    31 años,555226.0,276266.0,278960.0,
    32 años,578175.0,287927.0,290248.0,
    33 años,601757.0,299737.0,302020.0,
    34 años,632059.0,315356.0,316703.0,
    35 años,667034.0,333849.0,333186.0,
    36 años,700970.0,351714.0,349256.0,
    37 años,731046.0,367455.0,363591.0,
    38 años,760993.0,383890.0,377103.0,
    39 años,785255.0,398041.0,387214.0,
    40 años,799214.0,405696.0,393517.0,
    41 años,804223.0,408465.0,395759.0,
    42 años,798999.0,405899.0,393100.0,
    43 años,786815.0,399506.0,387309.0,
    44 años,775749.0,394091.0,381658.0,
    45 años,768175.0,389589.0,378586.0,
    46 años,756814.0,383087.0,373727.0,
    47 años,748007.0,377833.0,370174.0,
    48 años,741230.0,373493.0,367737.0,
    49 años,740035.0,371883.0,368152.0,
    50 años,732526.0,367369.0,365157.0,
    51 años,719961.0,359960.0,360001.0,
    52 años,720899.0,359171.0,361728.0,
    53 años,707103.0,352019.0,355084.0,
    54 años,677346.0,336342.0,341004.0,
    55 años,657090.0,325001.0,332088.0,
    56 años,649752.0,320691.0,329060.0,
    57 años,640923.0,315772.0,325151.0,
    58 años,623397.0,306372.0,317025.0,
    59 años,607308.0,297552.0,309757.0,
    60 años,578352.0,282441.0,295911.0,
    61 años,548561.0,267139.0,281422.0,
    62 años,526312.0,255208.0,271104.0,
    63 años,512411.0,247742.0,264669.0,
    64 años,509673.0,246613.0,263060.0,
    65 años,490795.0,236739.0,254056.0,
    66 años,467757.0,224226.0,243531.0,
    67 años,469363.0,223371.0,245992.0,
    68 años,486601.0,230239.0,256362.0,
    69 años,473434.0,223338.0,250096.0,
    70 años,439017.0,205555.0,233463.0,
    71 años,435010.0,202045.0,232965.0,
    72 años,429869.0,198653.0,231216.0,
    73 años,411323.0,188933.0,222390.0,
    74 años,375716.0,171577.0,204139.0,
    75 años,329957.0,149622.0,180336.0,
    76 años,346351.0,154990.0,191361.0,
    77 años,312815.0,137481.0,175333.0,
    78 años,260203.0,112030.0,148173.0,
    79 años,285733.0,121702.0,164031.0,
    80 años,306937.0,128040.0,178897.0,
    81 años,305157.0,125306.0,179851.0,
    82 años,286604.0,116270.0,170334.0,
    83 años,274406.0,109011.0,165395.0,
    84 años,260336.0,101290.0,159046.0,
    85 años,235369.0,89862.0,145507.0,
    86 años,211396.0,78183.0,133212.0,
    87 años,187517.0,66933.0,120584.0,
    88 años,161879.0,56078.0,105802.0,
    89 años,137317.0,45956.0,91360.0,
    90 años,114516.0,36962.0,77554.0,
    91 años,95228.0,29561.0,65666.0,
    92 años,76652.0,22789.0,53863.0,
    93 años,60942.0,17513.0,43429.0,
    94 años,47192.0,13036.0,34156.0,
    95 años,35070.0,9248.0,25823.0,
    96 años,24794.0,6312.0,18481.0,
    97 años,16965.0,4121.0,12844.0,
    98 años,11415.0,2665.0,8749.0,
    99 años,7894.0,1773.0,6121.0,
    100 años,5381.0,1204.0,4177.0,
    101 años,3266.0,675.0,2591.0,
    102 años,1762.0,285.0,1477.0,
    103 años,1103.0,169.0,935.0,
    104 años,638.0,97.0,542.0,
    100 y más años,12881.0,2532.0,10349.0,
    105 y más años,730.0,103.0,627.0,
Notas:
Los datos son provisionales desde 1 de Julio de 2017
Fuente: Instituto Nacional de Estadística
